300
m; Acima de 60 anos; Ensino médio completo; Região Sul; Tablet; Alimentação
f; De 30 a 59 anos; Ensino superior completo; Região Oeste/Regalado; Notebook ou Netbook; Educação
m; Até 15 anos; Ensino superior completo; Região Extremo Leste; Computador Pessoal; Cultura
o; De 16 a 29 anos; Ensino superior incompleto; Região Leste/Ibirapuitã; Smartphone; Cultura
o; De 16 a 29 anos; Ensino fundamental completo; Região Sul; Smartphone; Educação
f; De 30 a 59 anos; Ensino médio completo; Região Norte; Computador Pessoal; Alimentação
o; Acima de 60 anos; Ensino fundamental completo; Região Norte; Nenhuma; Cultura
f; De 16 a 29 anos; Ensino superior completo; Região Oeste/Regalado; Nenhuma; Alimentação
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Extremo Oeste; Computador Pessoal; Educação
f; De 16 a 29 anos; Ensino superior completo; Região Sul; Nenhuma; Alimentação
m; De 30 a 59 anos; Ensino fundamental completo; Região Extremo Oeste; Computador Pessoal; Cultura
f; Acima de 60 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Smartphone; Cultura
o; Acima de 60 anos; Ensino médio completo; Região Norte; Notebook ou Netbook; Cultura
m; De 16 a 29 anos; Ensino superior incompleto; Região Extremo Oeste; Computador Pessoal; Educação
f; De 30 a 59 anos; Ensino superior incompleto; Região Oeste/Regalado; Tablet; Alimentação
m; Até 15 anos; Ensino médio incompleto; Região Norte; Nenhuma; Educação
f; Até 15 anos; Ensino superior incompleto; Região Norte; Tablet; Alimentação
o; Acima de 60 anos; Ensino fundamental incompleto; Região Extremo Oeste; Nenhuma; Alimentação
f; De 16 a 29 anos; Ensino superior incompleto; Região Leste/Ibirapuitã; Notebook ou Netbook; Educação
o; Até 15 anos; Ensino superior completo; Região Oeste/Regalado; Tablet; Educação
f; Até 15 anos; Ensino médio completo; Região Oeste/Regalado; Nenhuma; Educação
m; De 30 a 59 anos; Ensino superior incompleto; Região Oeste/Regalado; Notebook ou Netbook; Cultura
f; Até 15 anos; Ensino fundamental incompleto; Região Sul; Tablet; Educação
o; Até 15 anos; Ensino superior completo; Região Extremo Oeste; Notebook ou Netbook; Alimentação
o; Acima de 60 anos; Ensino superior completo; Região Cidade Alta/Aguateiros; Computador Pessoal; Educação
o; Até 15 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Smartphone; Alimentação
o; De 30 a 59 anos; Ensino superior incompleto; Região Leste/Ibirapuitã; Smartphone; Alimentação
f; De 30 a 59 anos; Ensino superior completo; Região Extremo Leste; Nenhuma; Educação
m; De 16 a 29 anos; Ensino médio incompleto; Região Leste/Ibirapuitã; Smartphone; Educação
m; De 16 a 29 anos; Ensino superior incompleto; Região Oeste/Regalado; Computador Pessoal; Alimentação
f; Até 15 anos; Ensino superior incompleto; Região Oeste/Regalado; Tablet; Alimentação
o; Acima de 60 anos; Ensino superior completo; Região Cidade Alta/Aguateiros; Tablet; Alimentação
m; Até 15 anos; Ensino superior completo; Região Extremo Leste; Nenhuma; Cultura
f; Até 15 anos; Ensino fundamental incompleto; Região Extremo Oeste; Smartphone; Educação
m; De 16 a 29 anos; Ensino superior completo; Região Cidade Alta/Aguateiros; Tablet; Alimentação
o; Acima de 60 anos; Ensino médio completo; Região Extremo Leste; Nenhuma; Alimentação
o; Até 15 anos; Ensino médio incompleto; Região Extremo Leste; Smartphone; Alimentação
o; Acima de 60 anos; Ensino fundamental completo; Região Oeste/Regalado; Computador Pessoal; Alimentação
o; Acima de 60 anos; Ensino fundamental incompleto; Região Sul; Nenhuma; Cultura
m; De 16 a 29 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Alimentação
f; Até 15 anos; Ensino médio completo; Região Oeste/Regalado; Nenhuma; Cultura
o; Até 15 anos; Ensino superior incompleto; Região Cidade Alta/Aguateiros; Computador Pessoal; Educação
f; De 30 a 59 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Alimentação
f; Até 15 anos; Ensino superior completo; Região Sul; Smartphone; Educação
m; Acima de 60 anos; Ensino fundamental incompleto; Região Extremo Oeste; Tablet; Alimentação
m; De 30 a 59 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Smartphone; Alimentação
f; De 16 a 29 anos; Ensino superior incompleto; Região Extremo Oeste; Smartphone; Alimentação
o; De 30 a 59 anos; Ensino superior completo; Região Sul; Smartphone; Cultura
m; Acima de 60 anos; Ensino fundamental completo; Região Oeste/Regalado; Tablet; Cultura
o; De 16 a 29 anos; Ensino superior completo; Região Extremo Leste; Tablet; Educação
o; De 16 a 29 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Computador Pessoal; Educação
o; Até 15 anos; Ensino médio completo; Região Norte; Notebook ou Netbook; Alimentação
m; Acima de 60 anos; Ensino superior incompleto; Região Extremo Oeste; Smartphone; Cultura
m; Acima de 60 anos; Ensino fundamental incompleto; Região Leste/Ibirapuitã; Tablet; Educação
f; De 16 a 29 anos; Ensino fundamental completo; Região Norte; Notebook ou Netbook; Cultura
o; De 16 a 29 anos; Ensino médio incompleto; Região Norte; Tablet; Cultura
o; De 30 a 59 anos; Ensino fundamental completo; Região Leste/Ibirapuitã; Computador Pessoal; Alimentação
f; De 16 a 29 anos; Ensino médio incompleto; Região Extremo Oeste; Notebook ou Netbook; Alimentação
o; De 30 a 59 anos; Ensino superior completo; Região Cidade Alta/Aguateiros; Tablet; Alimentação
m; De 16 a 29 anos; Ensino médio completo; Região Extremo Leste; Computador Pessoal; Alimentação
f; De 30 a 59 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Alimentação
m; De 16 a 29 anos; Ensino médio incompleto; Região Extremo Leste; Smartphone; Educação
f; De 30 a 59 anos; Ensino médio completo; Região Oeste/Regalado; Tablet; Cultura
m; Acima de 60 anos; Ensino superior completo; Região Extremo Oeste; Computador Pessoal; Educação
m; De 30 a 59 anos; Ensino superior incompleto; Região Extremo Oeste; Smartphone; Cultura
f; De 30 a 59 anos; Ensino médio completo; Região Extremo Oeste; Tablet; Cultura
f; De 16 a 29 anos; Ensino superior incompleto; Região Leste/Ibirapuitã; Smartphone; Educação
f; Acima de 60 anos; Ensino superior completo; Região Leste/Ibirapuitã; Tablet; Educação
o; Acima de 60 anos; Ensino médio incompleto; Região Sul; Smartphone; Alimentação
f; De 16 a 29 anos; Ensino superior completo; Região Sul; Computador Pessoal; Alimentação
o; De 16 a 29 anos; Ensino fundamental completo; Região Sul; Notebook ou Netbook; Cultura
f; De 16 a 29 anos; Ensino médio incompleto; Região Oeste/Regalado; Tablet; Cultura
m; Acima de 60 anos; Ensino fundamental completo; Região Leste/Ibirapuitã; Nenhuma; Cultura
f; Acima de 60 anos; Ensino médio incompleto; Região Sul; Nenhuma; Cultura
m; De 16 a 29 anos; Ensino médio completo; Região Cidade Alta/Aguateiros; Computador Pessoal; Educação
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Extremo Leste; Tablet; Cultura
m; Acima de 60 anos; Ensino superior completo; Região Leste/Ibirapuitã; Notebook ou Netbook; Cultura
f; Até 15 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Alimentação
o; Até 15 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Smartphone; Cultura
